X,Y,NOMBRE,DOMICILIO,IMAGEN,AUTOMAT,OBSERV,NRO_EST,HORARIO,DIRE_NORM
-58392452073016970,-34583133075763528,FACULTAD DE DERECHO,AV. PRES.FIGUEROA ALCORTA Y  JUAN A.BIBILONI,ESTACION_AUTOMATICA.PNG,AUTOMATICA,ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA),1,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,"FIGUEROA ALCORTA, PRES. AV. Y BIBILONI, JUAN A."
-58374821787756280,-34592588809772888,RETIRO,AV. DR.JOSE RAMOS MEJIA Y DEL LIBERTADOR AV,ESTACION_AUTOMATICA.PNG,AUTOMATICA,ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA),2,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,"DEL LIBERTADOR AV. Y RAMOS MEJIA, JOSE MARIA, DR. AV."
-5836891784255409,-34611242024977076,ADUANA,AV. ING.HUERGO Y AV. BELGRANO,ESTACION_AUTOMATICA.PNG,AUTOMATICA,ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA),3,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,"HUERGO, ING. AV. Y BELGRANO AV."
-58368950383367880,-34601721087592916,PLAZA ROMA,LAVALLE Y BOUCHARD,ESTACION_AUTOMATICA.PNG,AUTOMATICA,ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA),4,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,LAVALLE Y BOUCHARD
-5836970867192413,-34628301312470044,PARQUE LEZAMA,AV MARTIN GARCIA E IRALA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA),6,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,"GARCIA, MARTIN AV. E IRALA"
-58420997041078040,-34580127344307360,PLAZA ITALIA,AV. SANTA FE Y AV. SARMIENTO,ESTACION_AUTOMATICA.PNG,AUTOMATICA,ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA),5,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,SARMIENTO AV. Y CALZADA CIRCULAR PLAZA ITALIA
-58380989604108224,-3460584049631661,OBELISCO,AV. 9 DE JULIO Y TTE. GRAL JUAN DOMINGO PERON,ESTACION_AUTOMATICA.PNG,AUTOMATICA,ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA),7,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,"PELLEGRINI, CARLOS Y PERON, JUAN DOMINGO, TTE. GENERAL"
-58389253260153264,-34609930459200116,CONGRESO,AV. HIPOLITO YRIGOYEN Y VIRREY CEBALLOS,ESTACION_AUTOMATICA.PNG,AUTOMATICA,ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA),8,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,"YRIGOYEN, HIPOLITO AV. Y CEVALLOS, VIRREY"
-5840714467125671,-34583914572572432,PARQUE LAS HERAS,PARQUE LAS HERAS,ESTACION_AUTOMATICA.PNG,AUTOMATICA,ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA),9,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,"DIAZ, CNEL. AV. Y FRENCH"
-58365745861129696,-34615551427997520,PUERTO MADERO - UCA,MOREAU DE JUSTO 1500,ESTACION_AUTOMATICA.PNG,AUTOMATICA,ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA),10,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,"1500 MOREAU DE JUSTO, ALICIA AV."
