PERIODO,RUBRO,TIPO_PRESTACION,BARRIO,total
201301,ACERAS,RECLAMO,AGRONOMIA,6
201301,ACERAS,RECLAMO,ALMAGRO,172
201301,ACERAS,RECLAMO,BALVANERA,92
201301,ACERAS,RECLAMO,BARRACAS,45
201301,ACERAS,RECLAMO,BELGRANO,79
201301,ACERAS,RECLAMO,BOCA,10
201301,ACERAS,RECLAMO,BOEDO,38
201301,ACERAS,RECLAMO,CABALLITO,109
201301,ACERAS,RECLAMO,CHACARITA,20
201301,ACERAS,RECLAMO,COGHLAN,45
201301,ACERAS,RECLAMO,COLEGIALES,26
201301,ACERAS,RECLAMO,CONSTITUCION,13
201301,ACERAS,RECLAMO,FLORES,111
201301,ACERAS,RECLAMO,FLORESTA,28
201301,ACERAS,RECLAMO,LINIERS,24
201301,ACERAS,RECLAMO,MATADEROS,97
201301,ACERAS,RECLAMO,MONSERRAT,44
201301,ACERAS,RECLAMO,MONTE CASTRO,26
201301,ACERAS,RECLAMO,NUÑEZ,32
201301,ACERAS,RECLAMO,NUEVA POMPEYA,63
201301,ACERAS,RECLAMO,PALERMO,113
201301,ACERAS,RECLAMO,PARQUE AVELLANEDA,41
201301,ACERAS,RECLAMO,PARQUE CHACABUCO,54
201301,ACERAS,RECLAMO,PARQUE CHAS,20
201301,ACERAS,RECLAMO,PARQUE PATRICIOS,28
201301,ACERAS,RECLAMO,PATERNAL,54
201301,ACERAS,RECLAMO,PUERTO MADERO,1
201301,ACERAS,RECLAMO,RECOLETA,53
201301,ACERAS,RECLAMO,RETIRO,15
201301,ACERAS,RECLAMO,SAAVEDRA,48
201301,ACERAS,RECLAMO,SAN CRISTOBAL,33
201301,ACERAS,RECLAMO,SAN NICOLAS,43
201301,ACERAS,RECLAMO,SAN TELMO,21
201301,ACERAS,RECLAMO,VELEZ SARSFIELD,36
201301,ACERAS,RECLAMO,VERSALLES,15
201301,ACERAS,RECLAMO,VILLA CRESPO,54
201301,ACERAS,RECLAMO,VILLA DEL PARQUE,44
201301,ACERAS,RECLAMO,VILLA DEVOTO,49
201301,ACERAS,RECLAMO,VILLA GRAL. MITRE,31
201301,ACERAS,RECLAMO,VILLA LUGANO,80
201301,ACERAS,RECLAMO,VILLA LURO,40
201301,ACERAS,RECLAMO,VILLA ORTUZAR,18
201301,ACERAS,RECLAMO,VILLA PUEYRREDON,25
201301,ACERAS,RECLAMO,VILLA REAL,8
201301,ACERAS,RECLAMO,VILLA RIACHUELO,8
201301,ACERAS,RECLAMO,VILLA SANTA RITA,39
201301,ACERAS,RECLAMO,VILLA SOLDATI,24
201301,ACERAS,RECLAMO,VILLA URQUIZA,80
201301,ACERAS,SOLICITUD,ALMAGRO,4
201301,ACERAS,SOLICITUD,BARRACAS,1
201301,ACERAS,SOLICITUD,BELGRANO,4
201301,ACERAS,SOLICITUD,BOCA,1
201301,ACERAS,SOLICITUD,BOEDO,1
201301,ACERAS,SOLICITUD,CABALLITO,10
201301,ACERAS,SOLICITUD,CHACARITA,4
201301,ACERAS,SOLICITUD,COGHLAN,1
201301,ACERAS,SOLICITUD,COLEGIALES,3
201301,ACERAS,SOLICITUD,CONSTITUCION,1
201301,ACERAS,SOLICITUD,MATADEROS,2
201301,ACERAS,SOLICITUD,NUÑEZ,1
201301,ACERAS,SOLICITUD,NUEVA POMPEYA,1
201301,ACERAS,SOLICITUD,PALERMO,2
201301,ACERAS,SOLICITUD,PARQUE AVELLANEDA,1
201301,ACERAS,SOLICITUD,PARQUE CHACABUCO,2
201301,ACERAS,SOLICITUD,PARQUE PATRICIOS,1
201301,ACERAS,SOLICITUD,PATERNAL,3
201301,ACERAS,SOLICITUD,RECOLETA,2
201301,ACERAS,SOLICITUD,SAAVEDRA,7
201301,ACERAS,SOLICITUD,SAN CRISTOBAL,1
201301,ACERAS,SOLICITUD,SAN TELMO,1
201301,ACERAS,SOLICITUD,VELEZ SARSFIELD,1
201301,ACERAS,SOLICITUD,VILLA CRESPO,2
201301,ACERAS,SOLICITUD,VILLA DEVOTO,2
201301,ACERAS,SOLICITUD,VILLA LUGANO,1
201301,ACERAS,SOLICITUD,VILLA PUEYRREDON,1
201301,ACERAS,SOLICITUD,VILLA SANTA RITA,1
201301,ACERAS,SOLICITUD,VILLA URQUIZA,5
