PERIODO,RUBRO,TIPO_PRESTACION,BARRIO,total,COMUNA
201301,ACERAS,RECLAMO,AGRONOMIA,6,15
201301,ACERAS,RECLAMO,ALMAGRO,172,5
201301,ACERAS,RECLAMO,BALVANERA,92,3
201301,ACERAS,RECLAMO,BARRACAS,45,4
201301,ACERAS,RECLAMO,BELGRANO,79,13
201301,ACERAS,RECLAMO,BOCA,10,4
201301,ACERAS,RECLAMO,BOEDO,38,5
201301,ACERAS,RECLAMO,CABALLITO,109,6
201301,ACERAS,RECLAMO,CHACARITA,20,15
201301,ACERAS,RECLAMO,COGHLAN,45,12
201301,ACERAS,RECLAMO,COLEGIALES,26,13
201301,ACERAS,RECLAMO,CONSTITUCION,13,1
201301,ACERAS,RECLAMO,FLORES,111,7
201301,ACERAS,RECLAMO,FLORESTA,28,10
201301,ACERAS,RECLAMO,LINIERS,24,9
201301,ACERAS,RECLAMO,MATADEROS,97,9
201301,ACERAS,RECLAMO,MONSERRAT,44,1
201301,ACERAS,RECLAMO,MONTE CASTRO,26,10
201301,ACERAS,RECLAMO,NUÑEZ,32,13
201301,ACERAS,RECLAMO,NUEVA POMPEYA,63,4
201301,ACERAS,RECLAMO,PALERMO,113,14
201301,ACERAS,RECLAMO,PARQUE AVELLANEDA,41,9
201301,ACERAS,RECLAMO,PARQUE CHACABUCO,54,7
201301,ACERAS,RECLAMO,PARQUE CHAS,20,15
201301,ACERAS,RECLAMO,PARQUE PATRICIOS,28,4
201301,ACERAS,RECLAMO,PATERNAL,54,15
201301,ACERAS,RECLAMO,PUERTO MADERO,1,1
201301,ACERAS,RECLAMO,RECOLETA,53,2
201301,ACERAS,RECLAMO,RETIRO,15,1
201301,ACERAS,RECLAMO,SAAVEDRA,48,12
201301,ACERAS,RECLAMO,SAN CRISTOBAL,33,3
201301,ACERAS,RECLAMO,SAN NICOLAS,43,1
201301,ACERAS,RECLAMO,SAN TELMO,21,1
201301,ACERAS,RECLAMO,VELEZ SARSFIELD,36,10
201301,ACERAS,RECLAMO,VERSALLES,15,10
201301,ACERAS,RECLAMO,VILLA CRESPO,54,15
201301,ACERAS,RECLAMO,VILLA DEL PARQUE,44,11
201301,ACERAS,RECLAMO,VILLA DEVOTO,49,11
201301,ACERAS,RECLAMO,VILLA GRAL. MITRE,31,11
201301,ACERAS,RECLAMO,VILLA LUGANO,80,8
201301,ACERAS,RECLAMO,VILLA LURO,40,10
201301,ACERAS,RECLAMO,VILLA ORTUZAR,18,15
201301,ACERAS,RECLAMO,VILLA PUEYRREDON,25,12
201301,ACERAS,RECLAMO,VILLA REAL,8,10
201301,ACERAS,RECLAMO,VILLA RIACHUELO,8,8
201301,ACERAS,RECLAMO,VILLA SANTA RITA,39,11
201301,ACERAS,RECLAMO,VILLA SOLDATI,24,8
201301,ACERAS,RECLAMO,VILLA URQUIZA,80,12
201301,ACERAS,SOLICITUD,ALMAGRO,4,5
201301,ACERAS,SOLICITUD,BARRACAS,1,4
201301,ACERAS,SOLICITUD,BELGRANO,4,13
201301,ACERAS,SOLICITUD,BOCA,1,4
201301,ACERAS,SOLICITUD,BOEDO,1,5
201301,ACERAS,SOLICITUD,CABALLITO,10,6
201301,ACERAS,SOLICITUD,CHACARITA,4,15
201301,ACERAS,SOLICITUD,COGHLAN,1,12
201301,ACERAS,SOLICITUD,COLEGIALES,3,13
201301,ACERAS,SOLICITUD,CONSTITUCION,1,1
201301,ACERAS,SOLICITUD,MATADEROS,2,9
201301,ACERAS,SOLICITUD,NUÑEZ,1,13
201301,ACERAS,SOLICITUD,NUEVA POMPEYA,1,4
201301,ACERAS,SOLICITUD,PALERMO,2,14
201301,ACERAS,SOLICITUD,PARQUE AVELLANEDA,1,9
201301,ACERAS,SOLICITUD,PARQUE CHACABUCO,2,7
201301,ACERAS,SOLICITUD,PARQUE PATRICIOS,1,4
201301,ACERAS,SOLICITUD,PATERNAL,3,15
201301,ACERAS,SOLICITUD,RECOLETA,2,2
201301,ACERAS,SOLICITUD,SAAVEDRA,7,12
201301,ACERAS,SOLICITUD,SAN CRISTOBAL,1,3
201301,ACERAS,SOLICITUD,SAN TELMO,1,1
201301,ACERAS,SOLICITUD,VELEZ SARSFIELD,1,10
201301,ACERAS,SOLICITUD,VILLA CRESPO,2,15
201301,ACERAS,SOLICITUD,VILLA DEVOTO,2,11
201301,ACERAS,SOLICITUD,VILLA LUGANO,1,8
201301,ACERAS,SOLICITUD,VILLA PUEYRREDON,1,12
201301,ACERAS,SOLICITUD,VILLA SANTA RITA,1,11
201301,ACERAS,SOLICITUD,VILLA URQUIZA,5,12
201301,ACTOS DE CORRUPCION,DENUNCIA,ALMAGRO,1,5
201301,ACTOS DE CORRUPCION,DENUNCIA,BARRACAS,2,4
201301,ACTOS DE CORRUPCION,DENUNCIA,BELGRANO,1,13
201301,ACTOS DE CORRUPCION,DENUNCIA,BOCA,1,4
201301,ACTOS DE CORRUPCION,DENUNCIA,BOEDO,1,5
201301,ACTOS DE CORRUPCION,DENUNCIA,CABALLITO,1,6
201301,ACTOS DE CORRUPCION,DENUNCIA,CHACARITA,1,15
201301,ACTOS DE CORRUPCION,DENUNCIA,CONSTITUCION,2,1
201301,ACTOS DE CORRUPCION,DENUNCIA,FLORES,1,7
201301,ACTOS DE CORRUPCION,DENUNCIA,LINIERS,1,9
201301,ACTOS DE CORRUPCION,DENUNCIA,MONSERRAT,2,1
201301,ACTOS DE CORRUPCION,DENUNCIA,PALERMO,4,14
201301,ACTOS DE CORRUPCION,DENUNCIA,PARQUE CHACABUCO,1,7
201301,ACTOS DE CORRUPCION,DENUNCIA,PARQUE PATRICIOS,4,4
201301,ACTOS DE CORRUPCION,DENUNCIA,PATERNAL,1,15
201301,ACTOS DE CORRUPCION,DENUNCIA,SAN NICOLAS,3,1
201301,ACTOS DE CORRUPCION,DENUNCIA,VILLA CRESPO,2,15
201301,ACTOS DE CORRUPCION,DENUNCIA,VILLA DEL PARQUE,1,11
201301,ACTOS DE CORRUPCION,DENUNCIA,VILLA LURO,2,10
201301,ACTOS DE CORRUPCION,DENUNCIA,VILLA PUEYRREDON,1,12
201301,ACTOS DE CORRUPCION,DENUNCIA,VILLA URQUIZA,1,12
201301,ALBERGUE TRANSITORIO,DENUNCIA,MONSERRAT,2,1
201301,ALUMBRADO,RECLAMO,AGRONOMIA,38,15
201301,ALUMBRADO,RECLAMO,ALMAGRO,130,5
201301,ALUMBRADO,RECLAMO,BALVANERA,66,3
201301,ALUMBRADO,RECLAMO,BARRACAS,118,4
201301,ALUMBRADO,RECLAMO,BELGRANO,71,13
201301,ALUMBRADO,RECLAMO,BOCA,50,4
201301,ALUMBRADO,RECLAMO,BOEDO,52,5
201301,ALUMBRADO,RECLAMO,CABALLITO,178,6
201301,ALUMBRADO,RECLAMO,CHACARITA,54,15
201301,ALUMBRADO,RECLAMO,COGHLAN,26,12
201301,ALUMBRADO,RECLAMO,COLEGIALES,31,13
201301,ALUMBRADO,RECLAMO,CONSTITUCION,27,1
201301,ALUMBRADO,RECLAMO,FLORES,248,7
201301,ALUMBRADO,RECLAMO,FLORESTA,111,10
201301,ALUMBRADO,RECLAMO,LINIERS,153,9
201301,ALUMBRADO,RECLAMO,MATADEROS,175,9
201301,ALUMBRADO,RECLAMO,MONSERRAT,15,1
201301,ALUMBRADO,RECLAMO,MONTE CASTRO,100,10
201301,ALUMBRADO,RECLAMO,NUÑEZ,36,13
201301,ALUMBRADO,RECLAMO,NUEVA POMPEYA,135,4
201301,ALUMBRADO,RECLAMO,PALERMO,74,14
201301,ALUMBRADO,RECLAMO,PARQUE AVELLANEDA,111,9
201301,ALUMBRADO,RECLAMO,PARQUE CHACABUCO,134,7
201301,ALUMBRADO,RECLAMO,PARQUE CHAS,42,15
201301,ALUMBRADO,RECLAMO,PARQUE PATRICIOS,72,4
201301,ALUMBRADO,RECLAMO,PATERNAL,26,15
201301,ALUMBRADO,RECLAMO,PUERTO MADERO,1,1
201301,ALUMBRADO,RECLAMO,RECOLETA,53,2
201301,ALUMBRADO,RECLAMO,RETIRO,15,1
201301,ALUMBRADO,RECLAMO,SAAVEDRA,92,12
201301,ALUMBRADO,RECLAMO,SAN CRISTOBAL,72,3
201301,ALUMBRADO,RECLAMO,SAN NICOLAS,22,1
201301,ALUMBRADO,RECLAMO,SAN TELMO,24,1
201301,ALUMBRADO,RECLAMO,VELEZ SARSFIELD,104,10
201301,ALUMBRADO,RECLAMO,VERSALLES,26,10
201301,ALUMBRADO,RECLAMO,VILLA CRESPO,137,15
201301,ALUMBRADO,RECLAMO,VILLA DEL PARQUE,87,11
201301,ALUMBRADO,RECLAMO,VILLA DEVOTO,140,11
201301,ALUMBRADO,RECLAMO,VILLA GRAL. MITRE,45,11
201301,ALUMBRADO,RECLAMO,VILLA LUGANO,131,8
201301,ALUMBRADO,RECLAMO,VILLA LURO,76,10
201301,ALUMBRADO,RECLAMO,VILLA ORTUZAR,41,15
201301,ALUMBRADO,RECLAMO,VILLA PUEYRREDON,60,12
201301,ALUMBRADO,RECLAMO,VILLA REAL,32,10
201301,ALUMBRADO,RECLAMO,VILLA RIACHUELO,19,8
201301,ALUMBRADO,RECLAMO,VILLA SANTA RITA,66,11
201301,ALUMBRADO,RECLAMO,VILLA SOLDATI,47,8
201301,ALUMBRADO,RECLAMO,VILLA URQUIZA,103,12
201301,ALUMBRADO,SOLICITUD,AGRONOMIA,1,15
201301,ALUMBRADO,SOLICITUD,ALMAGRO,7,5
201301,ALUMBRADO,SOLICITUD,BALVANERA,3,3
201301,ALUMBRADO,SOLICITUD,BARRACAS,6,4
201301,ALUMBRADO,SOLICITUD,BELGRANO,11,13
201301,ALUMBRADO,SOLICITUD,BOCA,5,4
201301,ALUMBRADO,SOLICITUD,BOEDO,3,5
201301,ALUMBRADO,SOLICITUD,CABALLITO,9,6
201301,ALUMBRADO,SOLICITUD,CHACARITA,1,15
201301,ALUMBRADO,SOLICITUD,COGHLAN,2,12
201301,ALUMBRADO,SOLICITUD,COLEGIALES,3,13
201301,ALUMBRADO,SOLICITUD,CONSTITUCION,1,1
201301,ALUMBRADO,SOLICITUD,FLORES,15,7
201301,ALUMBRADO,SOLICITUD,FLORESTA,7,10
201301,ALUMBRADO,SOLICITUD,LINIERS,5,9
201301,ALUMBRADO,SOLICITUD,MATADEROS,4,9
201301,ALUMBRADO,SOLICITUD,MONSERRAT,1,1
201301,ALUMBRADO,SOLICITUD,MONTE CASTRO,3,10
201301,ALUMBRADO,SOLICITUD,NUÑEZ,4,13
201301,ALUMBRADO,SOLICITUD,NUEVA POMPEYA,6,4
201301,ALUMBRADO,SOLICITUD,PALERMO,8,14
201301,ALUMBRADO,SOLICITUD,PARQUE AVELLANEDA,2,9
201301,ALUMBRADO,SOLICITUD,PARQUE CHACABUCO,3,7
201301,ALUMBRADO,SOLICITUD,PARQUE PATRICIOS,3,4
201301,ALUMBRADO,SOLICITUD,PATERNAL,2,15
201301,ALUMBRADO,SOLICITUD,RECOLETA,7,2
201301,ALUMBRADO,SOLICITUD,RETIRO,1,1
201301,ALUMBRADO,SOLICITUD,SAAVEDRA,7,12
201301,ALUMBRADO,SOLICITUD,SAN CRISTOBAL,2,3
201301,ALUMBRADO,SOLICITUD,SAN TELMO,2,1
201301,ALUMBRADO,SOLICITUD,VELEZ SARSFIELD,7,10
201301,ALUMBRADO,SOLICITUD,VILLA CRESPO,7,15
201301,ALUMBRADO,SOLICITUD,VILLA DEL PARQUE,8,11
201301,ALUMBRADO,SOLICITUD,VILLA DEVOTO,6,11
201301,ALUMBRADO,SOLICITUD,VILLA GRAL. MITRE,3,11
201301,ALUMBRADO,SOLICITUD,VILLA LUGANO,6,8
201301,ALUMBRADO,SOLICITUD,VILLA LURO,3,10
201301,ALUMBRADO,SOLICITUD,VILLA SANTA RITA,6,11
