nombre,tipo,categoria,lat,lng
HSBC,atm,banca,-33.08626960000001,-68.4780746
Cajero Automático Supervielle,atm,banca,-33.08255889999999,-68.477212
ICBC,atm,banca,-33.088296,-68.475359
Link,atm,banca,-33.194986,-68.46612100000002
Cajero Automático,atm,banca,-33.0525156,-68.5589656
Cajero Automático,atm,banca,-33.0506251,-68.56484739999999
Banelco Macro,atm,banca,-33.0828972,-68.4758911
Banco de la Nación Argentina,atm,banca,-33.0830056,-68.47540169999999
Banco Galicia,atm,banca,-33.08459850000001,-68.47381589999999
Banelco Supervielle,atm,banca,-33.08242800000001,-68.4708252
Banco Macro,atm,banca,-33.00708,-68.64908249999999
Cajeros Banco Nación,atm,banca,-33.1446141,-68.4852744
Banelco Macro,atm,banca,-32.9838333,-68.7887878
Banelco,atm,banca,-32.9786486,-68.7975562
Cajero Link,atm,banca,-32.9774471,-68.7982643
Mudanzas Los Tres Hermanos,atm,banca,-32.964279,-68.7949521
Atm,atm,banca,-32.9797118,-68.8580802
Banelco Supervielle,atm,banca,-32.9586439,-68.78949709999999
BBVA Francés,atm,banca,-32.983923,-68.7890539
Cajero Banelco Banco Supervielle,atm,banca,-33.035951,-68.878742
HSBC,atm,banca,-33.0365709,-68.879409
Banco San Juan,atm,banca,-32.9835069,-68.789619
ATM Santander Río,atm,banca,-32.9829374,-68.7888942
Banco Credicoop Coop. Ltdo.,bank,banca,-32.9825385,-68.78664189999999
Citibank,atm,banca,-32.97838700000001,-68.7974799
Banco Macro,atm,banca,-32.97761090000001,-68.7978859
BANELCO,atm,banca,-32.958694,-68.789394
Cajero Automatico Link Credicoop,atm,banca,-33.0751192,-68.87477129999999
Cajero Automatico Banelco Bco Macro,atm,banca,-33.09419059999999,-68.8789468
Cajero Automático Link Banco Nación,atm,banca,-33.03974120000001,-68.8791651
Banelco,atm,banca,-33.039861,-68.879644
Banelco Supervielle,atm,banca,-33.0397263,-68.8796768
Banelco Banco Galicia,atm,banca,-33.0358505,-68.8787308
CAJERO AUTOMATICO BANELCO,atm,banca,-33.03587409999999,-68.878876
CAJERO AUTOMATICO BANELCO,atm,banca,-33.03587409999999,-68.878876
Cajero Banelco,atm,banca,-33.035011,-68.878354
BANCO DE LA NACION ARGENTINA,bank,banca,-32.985192,-68.7893969
Cajero Automatico Link,atm,banca,-32.985144,-68.78924789999999
Banco de la Nación Argentina,atm,banca,-32.8999846,-68.8422624
Hospital Central BANCO DE LA NACION ARGENTINA Cajero LINK,atm,banca,-32.89205889999999,-68.832881
Banelco,atm,banca,-32.8946303,-68.8402984
Banelco,atm,banca,-32.893645,-68.839958
Cajero Automatico Banelco,atm,banca,-32.8928732,-68.8399347
Citibank,bank,banca,-32.890749,-68.8397178
ATM LiNK,atm,banca,-32.890254,-68.8395539
LiNK,atm,banca,-32.889832,-68.8394079
HSBC,bank,banca,-32.8937266,-68.8464841
LiNK,atm,banca,-32.890301,-68.841877
Link,atm,banca,-32.88823299999999,-68.8390469
Cajero Automático Banelco,atm,banca,-32.88752790000001,-68.838864
HSBC,bank,banca,-32.9017879,-68.8588709
Santander Río,bank,banca,-32.88918139999999,-68.8430173
Cajero Automático Banelco,atm,banca,-32.8930609,-68.85005900000002
Galicia Banelco,atm,banca,-32.8928754,-68.8518137
Banco Galicia,atm,banca,-32.88498599999999,-68.848294
Santander Río,bank,banca,-32.89074,-68.8588099
Banelco,atm,banca,-32.9026209,-68.7890999
Banco Macro,atm,banca,-32.916128,-68.825628
Banelco,atm,banca,-32.89985899999999,-68.7881309
Santander Río,bank,banca,-32.9542969,-68.856827
Banco Macro,bank,banca,-32.954613,-68.8572449
Cajero Automático Banelco,atm,banca,-32.9261386,-68.8438171
Citibank,atm,banca,-32.954482,-68.857501
Parada De Autobus,atm,banca,-32.9153049,-68.83415819999999
Cajero Automático Supervielle,atm,banca,-32.9523049,-68.8579999
Supervielle,bank,banca,-32.9554399,-68.858797
Supervielle,bank,banca,-32.9554399,-68.858797
LiNK,atm,banca,-32.89727600000001,-68.803405
Banco Patagonia,atm,banca,-32.9300479,-68.8502175
Cajero Automático Banelco,atm,banca,-32.92442599999999,-68.84851619999999
Banco San Juan,atm,banca,-32.9286899,-68.8560409
LiNK,atm,banca,-32.890491,-68.7990959
Cajero Automático Banelco,atm,banca,-32.9295534,-68.8573212
HSBC,bank,banca,-32.9145589,-68.8458249
Cajero Automático Link,atm,banca,-32.927115,-68.859106
Banco de la Nación Argentina,atm,banca,-32.8999846,-68.8422624
Cajero Banelco Galicia,atm,banca,-32.92463000000001,-68.843587
Banco de la Nación Argentina,atm,banca,-32.90182,-68.858981
BBVA Francés,atm,banca,-32.9152621,-68.8459512
BBVA Francés,bank,banca,-32.8921583,-68.85504829999999
Banco Credicoop Coop. Ltdo.,bank,banca,-32.9221589,-68.8477827
ATM LINK (Banco Credicoop),atm,banca,-32.9537538,-68.78835029999999
Banco Macro,atm,banca,-32.953939,-68.7526759
ICBC,atm,banca,-32.930593,-68.8063679
LINK,atm,banca,-32.9082412,-68.7891789
SUPERVIELLE,atm,banca,-32.937832,-68.840318
BANCO DE GALICIA BANELCO,atm,banca,-32.90297499999999,-68.7891703
Banelco,atm,banca,-32.9028489,-68.7892239
ICBC,atm,banca,-32.9154177,-68.8218125
BANCO DE LA NACION ARGENTINA,atm,banca,-32.9658824,-68.8539342
Cajero Automatico Linnk,atm,banca,-32.9657401,-68.8540203
Banelco Supervielle,atm,banca,-32.9382362,-68.8405228
Banelco Supervielle,atm,banca,-32.93210980000001,-68.8588333
Cajero Automático Banelco Banco Patagonia,atm,banca,-32.930089099999996,-68.8500581
cajero automatico,atm,banca,-32.9285769,-68.85847799999999
Rapipago,atm,banca,-32.9287412,-68.86121469999999
Cajero Banelco Supervielle,atm,banca,-32.9262388,-68.84393399999999
BANCO DE LA NACIÓN ARGENTINA,atm,banca,-32.9245839,-68.843977
Banelco Supervielle,atm,banca,-32.924493,-68.844503
Banelco Supervielle,atm,banca,-32.955671100000004,-68.8591759
BANCO DE LA NACION ARGENTINA,bank,banca,-32.954206,-68.8571259
Cajero Automático Banco Macro,atm,banca,-32.954464,-68.8589609
Cajero Credicoop,atm,banca,-32.9227837,-68.73892839999999
Banelco Supervielle,atm,banca,-32.9225243,-68.7390913
Banelco Supervielle,atm,banca,-32.9016953,-68.7986069
Cajero Automático Galicia,atm,banca,-32.9283309,-68.8124684
Banelco Macro,atm,banca,-32.92862339999999,-68.81361439999999
Banelco,atm,banca,-32.9142079,-68.821966
Banelco Supervielle,atm,banca,-32.9214973,-68.7906036
ATM,atm,banca,-32.9095034,-68.79681889999999
Banelco Banco Galicia,atm,banca,-32.9036015,-68.788375
Villa Nueva Centro Guaymallen,atm,banca,-32.9033639,-68.7890094
Banelco Macro,atm,banca,-32.9089241,-68.7986908
Cajero Automático Banelco,atm,banca,-32.900476,-68.788112
Banelco Macro,atm,banca,-32.9228096,-68.8478317
Supervielle,atm,banca,-32.9097978,-68.86021629999999
Banelco Supervielle,atm,banca,-32.90540309999999,-68.8433151
Banelco Supervielle,atm,banca,-32.9121895,-68.82706449999999
Cajeros Banelco,atm,banca,-32.90175010000001,-68.8592527
Link,atm,banca,-32.900084,-68.8420715
Banco de la Nación Argentina,atm,banca,-32.8982147,-68.84718099999999
ATM Network Link,atm,banca,-32.8999614,-68.8292331
Frig Maria Del Carmen,atm,banca,-32.8691718,-68.6700228
Cajero Automatico Banco Credicoop,atm,banca,-32.873976,-68.882509
Banco Macro,atm,banca,-32.856544,-68.887316
Banco Macro. Cajero Red Banelco,atm,banca,-32.845455,-68.77413039999999
Cajero Automatico Banelco Banco Macro,atm,banca,-32.8553655,-68.8085023
