ORIGEN_ESTACION,DESTINO_ESTACION,hora,lon,lat
29,52,0,-58.43446,-34.60843
29,52,0,-58.4344,-34.60856
29,52,0,-58.43476,-34.60875
29,52,0,-58.42799,-34.60871
29,52,0,-58.42005,-34.60853
29,52,0,-58.41606,-34.60855
29,52,0,-58.41523,-34.60845
29,52,0,-58.41412,-34.60788
29,52,0,-58.41367,-34.60611
29,52,0,-58.41494,-34.60585
29,52,0,-58.41474,-34.6071
94,109,0,-58.44948,-34.59185
94,109,0,-58.45023,-34.59115
94,109,0,-58.44913,-34.59023
94,109,0,-58.43885,-34.59979
94,109,0,-58.43487,-34.60118
94,109,0,-58.42896,-34.59742
94,109,0,-58.42963,-34.59672
2,62,0,-58.37493,-34.592529999999996
2,62,0,-58.37527,-34.59276
2,62,0,-58.37472,-34.59307
2,62,0,-58.37446,-34.59346
2,62,0,-58.37423,-34.59359
2,62,0,-58.3739,-34.59363
2,62,0,-58.37275,-34.59218
2,62,0,-58.37259,-34.59172
2,62,0,-58.37352,-34.59122
2,62,0,-58.37409,-34.5913
2,62,0,-58.37527,-34.59276
2,62,0,-58.37562,-34.59291
2,62,0,-58.37578,-34.59307
2,62,0,-58.37698,-34.59448
2,62,0,-58.37746,-34.59449
2,62,0,-58.37776,-34.59476
2,62,0,-58.37785,-34.59508
2,62,0,-58.37698,-34.59572
2,62,0,-58.37686,-34.59852
12,8,0,-58.38876,-34.59316
12,8,0,-58.3888,-34.59281
12,8,0,-58.38947,-34.59283
12,8,0,-58.38994,-34.59315
12,8,0,-58.39004,-34.59343
12,8,0,-58.38909,-34.60992
20,123,0,-58.44166,-34.57992
20,123,0,-58.44152,-34.58004
20,123,0,-58.44347,-34.58184
20,123,0,-58.44439,-34.5832
20,123,0,-58.43143,-34.59217
20,123,0,-58.42109,-34.58538
136,13,0,-58.44286,-34.599850000000004
136,13,0,-58.4411,-34.60128
136,13,0,-58.438720000000004,-34.59986
136,13,0,-58.43188,-34.6021
136,13,0,-58.41804,-34.60346
136,13,0,-58.41376,-34.6041
136,13,0,-58.4103,-34.60403
136,13,0,-58.40545,-34.60458
136,13,0,-58.40612,-34.60742
136,13,0,-58.40605,-34.60979
65,69,0,-58.41589,-34.58716
65,69,0,-58.41452,-34.58813
65,69,0,-58.41316,-34.58699
65,69,0,-58.41008,-34.589
65,69,0,-58.40792,-34.59084
65,69,0,-58.4061,-34.59257
65,69,0,-58.40506,-34.59338
65,69,0,-58.4036,-34.59412
65,69,0,-58.4043,-34.59554
65,69,0,-58.40421,-34.5956
65,69,0,-58.40426,-34.59587
81,45,0,-58.37086,-34.61597
81,45,0,-58.36944,-34.61584
81,45,0,-58.36936,-34.61715
81,45,0,-58.37309,-34.61717
81,45,0,-58.38066,-34.61763
81,45,0,-58.38131,-34.60505
81,45,0,-58.38104,-34.60399
81,45,0,-58.38102,-34.60287
81,45,0,-58.38136,-34.60255
81,45,0,-58.38382,-34.60261
81,45,0,-58.38392,-34.60147
81,45,0,-58.38461,-34.60162
81,45,0,-58.38691,-34.60168
85,96,0,-58.40907,-34.59458
85,96,0,-58.41025,-34.59696
85,96,0,-58.41029,-34.59814
85,96,0,-58.41145,-34.6029
