palabra,media_agrado,media_activacion,media_imaginabilidad
población,-0.2,0,0.6
obra,0.2,0.4,0.4
dormir,1,-0.6,1
dar,0.8,1,1
realizar,0.6,1,0.8
haber,0,-0.2,-0.2
amor,1,0.6,0.4
aparecer,0,0.6,0.6
seguir,0.4,0.6,0.8
especie,0.2,-0.2,0.6
dejar,-0.4,1,1
nombre,0.167,-0.5,0.167
solo,-0.6,-0.2,1
corazón,0.8,0.4,1
lograr,1,1,0.6
entender,1,0.8,0.6
acercar,0.2,1,0.6
grande,0,-0.2,0.6
ojo,0.2,-0.2,1
bueno,1,0.2,0.6
trabajar,0.6,1,1
permitir,0.8,1,0.4
junto,0.6,0.2,0.6
hablar,0.2,1,1
hacer,0.4,1,0.8
tiempo,0,0,0.2
nuevo,0.8,-0.4,0.6
mirada,0.4,0.6,0.8
entrar,0.2,1,1
cuerpo,0,0.2,1
tipo,-0.2,0,-0.8
cosa,0,0,-0.4
volver,-0.4,0.2,0.4
propio,0.4,0,0.6
más,0.8,0.2,0.2
llamar,0.2,1,1
canción,1,0,1
alcanzar,1,1,0.8
pensar,0.8,0.6,1
agua,0.6,0,1
aire,0.6,0,0.2
jugar,1,1,1
voz,0.4,0.8,0.8
poder,0.8,0.8,0.2
sentar,0.4,0.6,0.8
mar,0.8,0.6,1
mirar,0.4,0.8,1
río,0.6,0.4,0.8
dolor,-1,0.6,0.8
caso,0,-0.2,-0.6
mantener,-0.2,1,-0.4
historia,0.4,0,0
región,0,-0.2,-0.4
abrir,0.4,1,1
último,-0.4,-0.2,0.2
hermano,0.6,0.2,0.8
lugar,0,-0.4,0
junto,0.4,0.2,0.4
presentar,0.4,1,0.4
producir,0.4,1,0.2
estar,0.8,0.2,0.4
venir,0.4,1,1
palabra,0,0.2,0.2
habitante,0.5,-0.167,0.833
fin,0,0.2,0.2
sólo,0,-0.2,0
alma,0.5,0,-0.5
rey,-0.167,0,0.167
mundo,0.4,0,0.8
ser,0.4,0.4,0.2
número,0.167,-0.167,0.667
considerar,0.333,0.5,-0.333
querer,1,0.8,0.4
recordar,0.333,0.333,0.333
amar,1,1,0.667
creer,0.6,0.6,0.2
pedir,-0.5,0.5,0.5
caer,-0.5,-0.333,0.333
siguiente,0.167,0.333,0.167
trabajo,0.333,0.667,0.5
nacional,0.4,0.2,0.8
convertir,-0.2,1,0
tener,0.6,-0.2,0.8
lado,0,-0.4,0.4
punto,0,-0.4,0.6
esperar,-0.8,-1,0.8
amigo,1,0.4,1
manera,0,0,-0.8
total,0,-0.2,-0.4
poder,0.4,0.8,0.4
ubicar,-0.2,1,0.4
crear,1,1,0.2
calle,0,-0.4,0.8
terminar,0.2,1,0.8
forma,0.2,-0.2,-0.6
sistema,0.2,0.2,-0.8
año,0,-0.2,1
existir,0.6,0.2,-0.2
hijo,0.6,0.2,1
partir,0,0.8,0.6
comenzar,0.6,1,0.8
luz,0.6,0,1
buscar,0.2,1,0.8
paso,0,0.4,0.2
vida,0.8,0.2,0.4
país,0.2,-0.2,0.8
encontrar,0.6,0.6,1
decidir,0.2,1,-0.2
parte,0,-0.2,0.8
noche,0.6,0,1
llevar,0,0.6,1
poner,0.4,1,1
hora,0,-0.6,0.2
incluir,0.2,0.6,-0.2
decir,0.2,0.8,1
escuchar,0.4,0.6,0.8
perder,-1,0.4,1
grupo,0.6,0,0.8
libro,0.6,0,1
fuerza,0.4,0.4,0
familia,1,0.4,0.8
llegar,0.4,1,1
cielo,0.8,0.4,0.6
zona,0,-0.2,-0.4
verdad,0.8,0.2,-0.2
persona,0.4,0.6,0.8
norte,0.2,-0.4,0.4
hombre,0.4,0.4,1
cuenta,0,-0.2,0.4
puerta,0,-0.6,1
dirigir,0,0.8,0.2
momento,0.2,-0.4,-0.2
muerte,-0.8,0,0.2
municipio,0,-0.2,0.6
tratar,0.2,0.8,-0.2
quedar,0,-0.4,0.2
unir,0.4,0.8,0.8
cabeza,0,0,1
tierra,0.4,0,1
mismo,0,0.2,-0.4
centro,0.4,-0.4,0.4
aun,0,-0.2,-1
casa,0.8,-0.6,0.8
gente,0.4,0.2,1
principal,0.8,0.2,0.2
tan,0,-0.2,-0.6
mejor,0.8,0.4,0.2
preguntar,0.2,1,0.4
saber,0.8,1,0
formar,0.4,1,0
único,0.4,0.2,0.6
vez,0,0,-0.2
camino,0.6,0.4,0.6
recuerdo,0.2,-0.2,1
mujer,0.6,0.6,1
conocer,0.8,0.8,0.4
parecer,0.4,0.2,0.4
olvidar,0,0.6,0.4
metro,0.167,0,1
importante,0.333,0.333,0.333
universidad,0.714,0.857,1
siglo,0,-0.8,0.6
color,0.4,0,1
pasar,0,0.4,0.6
correr,0.8,1,1
mano,0.2,0,1
contar,0.4,1,0.8
deber,-0.4,0,0.8
salir,0.6,1,1
vivir,0.8,1,1
estado,-0.2,-0.2,-0.2
ver,0.4,0.6,0.8
pequeño,0.2,-0.4,1
padre,1,0.6,1
gobierno,0,0.667,0.833
condado,0,-0.8,0.2
utilizar,0.167,0.667,0.333
madre,1,0.8,1
sentir,0.6,0.6,0.4
tanto,0,0.2,-0.2
cambiar,0.333,0.667,0.167
final,0.4,0.2,0.6
escribir,0.2,0.8,1
día,0.4,0.2,1
sueño,0.4,0.2,0.4
usar,0,0.8,0.2
empezar,0.4,1,0
tomar,0,0.6,0.8
pesar,-0.4,0.2,0.4
equipo,0.8,0.4,0.8
ciudad,0.4,0.4,1
juego,1,1,0.8
provincia,0.6,0,0.8
gran,0.4,0.2,0.6
general,0.2,-0.2,-0.6
morir,-0.6,0.4,0.6
nacer,0.8,1,0.8
niño,0.6,0.8,1
mayor,0.333,0.167,1
recibir,0.667,0.167,0.667
serie,0.333,0.167,0
silencio,0.667,-0.167,1
realidad,0.333,0.333,0.667
real,0.333,0.333,0.5
proyecto,0.5,0.167,0.667
estudio,0.5,0.5,0.5
tocar,0.333,0.833,0.833
conseguir,0.333,0.5,0.667
película,0,0.143,0.571
mes,0.2,0,0.2
sol,0.4,0.6,1
diferente,0.6,0.4,0
ganar,0.6,0.8,0.4
isla,0.8,0,0.8
censo,0,0.6,0.2
intentar,0.8,0.6,0.4
mostrar,0.6,0.6,0.8
viejo,0.2,0.2,0.4
humano,0.8,0.8,0.8
caminar,0.8,1,1
pie,0,0.4,0.8
orden,0.167,0.333,0.5
gustar,0.833,0.833,0.333
llorar,-0.833,0.833,0.833
levantar,-0.2,0.6,0.4
cara,0.4,-0.2,0.2
rostro,0.2,0,0.2
señor,-0.2,0.2,0.4
música,1,0.6,0.2
raza,-0.2,0.4,1
idea,0.8,1,0.4
viento,0.6,0.6,0.6
iglesia,-0.6,0,1
través,0,0,-1
problema,-0.8,0.4,0.4
álbum,0.2,0.2,0.6
desear,0.6,0.8,0.2
boca,0.4,0.4,1
mente,0.6,0.4,0
imagen,0.4,0,0.6
miedo,-1,0.8,0.6
época,0,0,0
acabar,0.2,0.6,0.2
piel,0.6,0,1
carrera,0.2,0.8,1
construir,0.8,1,1
obtener,0.4,1,-0.2
brazo,0.2,-0.2,1
fuerte,0.6,0.8,0.2
demografía,0,-0.167,-0.5
club,0.667,0.5,0.667
publicar,0.167,1,0.333
resto,0.167,0,-0.167
observar,0.333,0.667,0.667
situar,0,0,0
temporada,0.333,0.167,-0.333
lanzar,0.333,1,0.833
